question,optionA,optionB,optionC,optionD,correctAnswer
"¿Cuál es el propósito principal de Magerit?","Crear interfaces de usuario","Gestionar recursos humanos","Analizar y gestionar riesgos","Optimizar redes informáticas","C"
"¿Quién desarrolló la metodología Magerit?","Un grupo de empresas privadas","El Consejo Superior de Administración Electrónica","La Universidad Politécnica de Madrid","Una organización internacional de TI","B"
"¿En qué año se publicó por primera vez Magerit?","1990","1997","2005","2012","B"
"¿Cuántos libros componen la metodología Magerit?","Uno","Dos","Tres","Cuatro","C"
"¿Qué describe el Libro 1 de Magerit?","Formatos para documentación","Alternativas para la implementación","La metodología y conceptos básicos","Estudios de caso","C"
"¿Cuál es el primer paso al usar Magerit?","Definir amenazas","Definir activos","Implementar salvaguardas","Hacer un análisis financiero","B"
"¿Cuál de las siguientes NO es una categoría de activos según Magerit?","Datos","Marketing","Hardware","Personal","B"
"¿Qué dimensión se utiliza para valorar los activos en Magerit?","Velocidad","Confidencialidad","Eficiencia","Creatividad","B"
"¿Qué tipo de gráfico recomienda Magerit para comprender las dependencias entre activos?","Diagrama de barras","Diagrama de dependencia","Organigrama","SWOT","B"
"¿Qué se debe definir después de los activos según Magerit?","Salvaguardas","Amenazas","Presupuesto","Equipo de trabajo","B"
"¿Qué se considera al definir amenazas en Magerit?","Trazabilidad y autenticidad","Degradación y probabilidad","Tiempo y costo","Eficiencia y flexibilidad","B"
"¿Qué representa una salvaguarda en Magerit?","Un método para medir riesgos","Una medida para mitigar amenazas","Un análisis financiero","Un reporte de incidentes","B"
"¿Qué salvaguarda se podría implementar contra incendios según Magerit?","Cursos de formación","Poner extintores","Instalar firewalls","Aumentar el personal","B"
"¿Qué activo sería afectado por errores de usuarios en un sistema de ventas?","Datos de clientes","Edificio principal","Gestor de ventas","Red de comunicaciones","C"
"¿Qué significa la trazabilidad en el contexto de Magerit?","La capacidad de monitorear activos","La flexibilidad del sistema","La autenticidad de los datos","La facilidad de uso del software","A"
"¿Qué propone Magerit para asegurar que las amenazas afecten lo menos posible?","Incrementar el presupuesto","Implementar salvaguardas","Reducir la cantidad de activos","Eliminar todas las amenazas","B"
"¿Qué categorías incluye Magerit para clasificar los activos?","Software y redes","Hardware y marketing","Datos y presupuestos","Personal y campañas","A"
"¿Qué objetivo tiene el Libro 3 de Magerit?","Proporcionar estudios de caso","Proponer alternativas de implementación","Definir conceptos clave","Ofrecer plantillas de informes","B"
"¿Qué tipo de amenaza sería más probable para instalaciones físicas?","Errores de usuario","Virus informáticos","Incendios","Fallas de software","C"
"¿Qué significa la gestión de riesgos según la Guía PMBOK?","Un análisis de mercado","Un enfoque en la calidad del producto","Un proceso para identificar, analizar y responder a los riesgos","Un método para reducir costos del proyecto","C"
"¿Cuál es el primer paso en la gestión de riesgos según la Guía PMBOK?","Controlar riesgos","Planificar la gestión de riesgos","Analizar cualitativamente los riesgos","Identificar amenazas","B"
"¿Qué fórmula define la exposición al riesgo (ER)?","ER = Impacto / Probabilidad","ER = Probabilidad x Impacto","ER = Probabilidad - Impacto","ER = Impacto + Probabilidad","B"
"¿Qué representa un análisis cualitativo de riesgos?","Un cálculo numérico del impacto","Una evaluación subjetiva de probabilidad e impacto","Un informe de riesgos detallado","Una acción correctiva inmediata","B"
"¿Qué acción se incluye en el control de riesgos?","Eliminar todos los riesgos","Monitorizar y actualizar el registro de riesgos","Aumentar los costos del proyecto","Reducir el alcance del proyecto","B"
"¿Qué estándar internacional está relacionado con la gestión de riesgos?","ISO 9001","ISO 21500","ISO 31000","ISO 14001","C"
"¿Qué describe el análisis cuantitativo de riesgos?","La probabilidad subjetiva de un evento","El impacto numérico de riesgos clave","Una lista de oportunidades","Un informe de calidad","B"
"¿Cuál es un objetivo del control de riesgos?","Incrementar el número de riesgos","Evitar cualquier análisis cualitativo","Actualizar y monitorear los riesgos emergentes","Eliminar la planificación del proyecto","C"
"En un proyecto, ¿qué elemento se analiza primero durante la gestión de riesgos?","Las oportunidades","Los costos asociados","Los activos y sus vulnerabilidades","El impacto económico","C"
"¿Qué herramienta se utiliza comúnmente para evaluar el grado del riesgo?","Mapa de calor","Diagrama de Gantt","Lista de verificación","Histograma","A"
"¿Qué técnica de Scrum se utiliza para estimar el trabajo en un sprint?","T-Shirt Sizing","Planning Poker","Escala Fibonacci","Historias de usuario","B"
"¿Qué es un Incremento en Scrum?","Un ciclo de tareas completadas","El producto en su estado actual tras un sprint","Una planificación diaria del equipo","Un backlog reducido","B"
"¿Qué define el término 'Done' en Scrum?","Una tarea iniciada","Una tarea completamente implementada y validada","Un objetivo del backlog","Una planificación finalizada","B"
"¿Qué es la Retrospectiva del Sprint?","Una reunión de evaluación del producto","Una evaluación del equipo sobre el sprint completado","Una revisión de los fallos técnicos","Una comparación cson otros equipos","B"
"¿Qué indica un Burndown Chart?","El rendimiento financiero del equipo","El progreso restante del trabajo en un sprint","El número de errores identificados","El backlog completo","B"
"¿Qué representa un impedimento en Scrum?","Una limitación técnica solucionada","Una barrera que impide el progreso del equipo","Un atraso en la entrega del producto","Un error crítico","B"
"¿Cuál es el propósito del Daily Scrum?","Asegurar la entrega semanal","Coordinar las tareas diarias del equipo","Revisar los costos del sprint","Asignar roles específicos","B"
"¿Qué aspecto se evalúa en una Revisión del Sprint?","La calidad del backlog","El producto entregado respecto a los objetivos del sprint","La flexibilidad del equipo","El rendimiento individual","B"
"¿Qué rol en Scrum es responsable de maximizar el valor del producto?","Scrum Master","Product Owner","Equipo de desarrollo","Stakeholders","B"
"¿Qué herramienta ayuda a priorizar elementos del backlog?","Planning Poker","T-Shirt Sizing","Gráfico de flujo","Mapa de calor","A"
"¿Qué representa la Cadencia en Scrum?","La velocidad promedio del equipo","Un ritmo constante de entrega de sprints","Un backlog estructurado","La planificación final del producto","B"
"¿Qué enfoque describe mejor al desarrollo incremental?","Un ciclo secuencial","Entrega en pequeñas partes funcionales","Un único paso hacia el producto final","Planificación exhaustiva inicial","B"
"¿Qué se logra al final de un sprint?","Una planificación futura","Un incremento funcional del producto","Una reunión de retrospectiva","Una evaluación del presupuesto","B"
"¿Qué principio ágil enfatiza la entrega temprana de valor?","Maximizar la documentación","Responder ante el cambio","Entregar valor funcional lo antes posible","Crear planes detallados","C"
"¿Qué describe mejor el concepto de Velocidad en Scrum?","El tiempo estimado para completar un sprint","El número de elementos completados en un sprint","El backlog final del producto","El ritmo de planificación","B"
"¿Qué práctica fomenta la mejora continua en Scrum?","La retrospectiva del sprint","El backlog de producto","El burndown chart","La revisión semanal","A"
